"Statistic","CensusYear","Sex","Travelling Time","Time Leaving Home","At Work School or College","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","07:31 - 08:00","Students at school or college aged 19 years and over","Number","2027"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","08:01 - 08:30","All persons","Number","119037"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","08:01 - 08:30","Population aged 15 years and over at work","Number","60370"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","19832"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","32130"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","08:01 - 08:30","Students at school or college aged 19 years and over","Number","6705"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","08:31 - 09:00","All persons","Number","112938"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","08:31 - 09:00","Population aged 15 years and over at work","Number","62509"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","28020"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","12507"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","08:31 - 09:00","Students at school or college aged 19 years and over","Number","9902"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","09:01 - 09:30","All persons","Number","34599"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","09:01 - 09:30","Population aged 15 years and over at work","Number","24511"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","5471"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","794"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","09:01 - 09:30","Students at school or college aged 19 years and over","Number","3823"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","After 09:30","All persons","Number","37628"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","After 09:30","Population aged 15 years and over at work","Number","32603"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","After 09:30","Children at school aged between 5 and 12 years","Number","68"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","After 09:30","Students at school or college aged between 13 and 18 years","Number","427"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","After 09:30","Students at school or college aged 19 years and over","Number","4530"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","Not stated","All persons","Number","2009"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","Not stated","Population aged 15 years and over at work","Number","1468"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","Not stated","Children at school aged between 5 and 12 years","Number","278"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","Not stated","Students at school or college aged between 13 and 18 years","Number","147"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","Not stated","Students at school or college aged 19 years and over","Number","116"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","½ hour - < ¾ hour","All departure times","All persons","Number","221529"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","½ hour - < ¾ hour","All departure times","Population aged 15 years and over at work","Number","166188"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","½ hour - < ¾ hour","All departure times","Children at school aged between 5 and 12 years","Number","11140"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","½ hour - < ¾ hour","All departure times","Students at school or college aged between 13 and 18 years","Number","24036"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","½ hour - < ¾ hour","All departure times","Students at school or college aged 19 years and over","Number","20165"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","½ hour - < ¾ hour","Before 06:30","All persons","Number","6876"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","½ hour - < ¾ hour","Before 06:30","Population aged 15 years and over at work","Number","6717"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","½ hour - < ¾ hour","Before 06:30","Children at school aged between 5 and 12 years","Number","8"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","½ hour - < ¾ hour","Before 06:30","Students at school or college aged between 13 and 18 years","Number","22"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","½ hour - < ¾ hour","Before 06:30","Students at school or college aged 19 years and over","Number","129"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","½ hour - < ¾ hour","06:30 - 07:00","All persons","Number","13521"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","½ hour - < ¾ hour","06:30 - 07:00","Population aged 15 years and over at work","Number","12698"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","½ hour - < ¾ hour","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","100"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","½ hour - < ¾ hour","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","232"
