"Statistic","CensusYear","Sex","Means of Travel","Aggregate Town or Rural Area","Time Leaving Home","At Work School or College","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","161"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","08:31 - 09:00","Students at school or college aged 19 years and over","Number","387"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","09:01 - 09:30","All persons","Number","664"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","09:01 - 09:30","Population aged 15 years and over at work","Number","121"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","404"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","37"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","09:01 - 09:30","Students at school or college aged 19 years and over","Number","102"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","After 09:30","All persons","Number","353"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","After 09:30","Population aged 15 years and over at work","Number","183"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","After 09:30","Children at school aged between 5 and 12 years","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","After 09:30","Students at school or college aged between 13 and 18 years","Number","22"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","After 09:30","Students at school or college aged 19 years and over","Number","147"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","Not stated","All persons","Number","87"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","Not stated","Population aged 15 years and over at work","Number","71"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","Not stated","Children at school aged between 5 and 12 years","Number","6"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","Not stated","Students at school or college aged between 13 and 18 years","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","Not stated","Students at school or college aged 19 years and over","Number","8"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","State","All departure times","All persons","Number","137260"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","State","All departure times","Population aged 15 years and over at work","Number","38595"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","State","All departure times","Children at school aged between 5 and 12 years","Number","31217"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","State","All departure times","Students at school or college aged between 13 and 18 years","Number","48143"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","State","All departure times","Students at school or college aged 19 years and over","Number","19305"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","State","Before 06:30","All persons","Number","3766"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","State","Before 06:30","Population aged 15 years and over at work","Number","3422"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","State","Before 06:30","Children at school aged between 5 and 12 years","Number","9"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","State","Before 06:30","Students at school or college aged between 13 and 18 years","Number","71"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","State","Before 06:30","Students at school or college aged 19 years and over","Number","264"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","State","06:30 - 07:00","All persons","Number","7058"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","State","06:30 - 07:00","Population aged 15 years and over at work","Number","5497"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","State","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","67"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","State","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","511"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","State","06:30 - 07:00","Students at school or college aged 19 years and over","Number","983"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","State","07:01 - 07:30","All persons","Number","13088"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","State","07:01 - 07:30","Population aged 15 years and over at work","Number","6562"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","State","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","476"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","State","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","3866"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","State","07:01 - 07:30","Students at school or college aged 19 years and over","Number","2184"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","State","07:31 - 08:00","All persons","Number","33097"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","State","07:31 - 08:00","Population aged 15 years and over at work","Number","7189"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","State","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","2385"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","State","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","19506"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","State","07:31 - 08:00","Students at school or college aged 19 years and over","Number","4017"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","State","08:01 - 08:30","All persons","Number","36659"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","State","08:01 - 08:30","Population aged 15 years and over at work","Number","5536"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","State","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","7230"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","State","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","19466"
