"Statistic","CensusYear","Sex","Means of Travel","Aggregate Town Size","At Work School or College","UNIT","VALUE"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Towns 1,500 - 1,999 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Towns 1,500 - 1,999 population","Students at school or college aged between 13 and 18 years","Number","36"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Towns 1,500 - 1,999 population","Students at school or college aged 19 years and over","Number","301"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Towns 1,000 - 1,499 population","All persons","Number","11238"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Towns 1,000 - 1,499 population","Population aged 15 years and over at work","Number","10720"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Towns 1,000 - 1,499 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Towns 1,000 - 1,499 population","Students at school or college aged between 13 and 18 years","Number","68"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Towns 1,000 - 1,499 population","Students at school or college aged 19 years and over","Number","450"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Total Towns 500 - 999 population","All persons","Number","14599"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Total Towns 500 - 999 population","Population aged 15 years and over at work","Number","13881"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Total Towns 500 - 999 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Total Towns 500 - 999 population","Students at school or college aged between 13 and 18 years","Number","92"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Total Towns 500 - 999 population","Students at school or college aged 19 years and over","Number","626"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Towns under 500 population but with at least 50 inhabited houses","All persons","Number","13487"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Towns under 500 population but with at least 50 inhabited houses","Population aged 15 years and over at work","Number","12783"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Towns under 500 population but with at least 50 inhabited houses","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Towns under 500 population but with at least 50 inhabited houses","Students at school or college aged between 13 and 18 years","Number","86"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Towns under 500 population but with at least 50 inhabited houses","Students at school or college aged 19 years and over","Number","618"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Remainder of country","All persons","Number","166642"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Remainder of country","Population aged 15 years and over at work","Number","155637"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Remainder of country","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Remainder of country","Students at school or college aged between 13 and 18 years","Number","2093"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Remainder of country","Students at school or college aged 19 years and over","Number","8912"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Passenger","State","All persons","Number","245547"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Passenger","State","Population aged 15 years and over at work","Number","25818"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Passenger","State","Children at school aged between 5 and 12 years","Number","150818"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Passenger","State","Students at school or college aged between 13 and 18 years","Number","61415"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Passenger","State","Students at school or college aged 19 years and over","Number","7496"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Passenger","Dublin City and suburbs","All persons","Number","36573"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Passenger","Dublin City and suburbs","Population aged 15 years and over at work","Number","4593"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Passenger","Dublin City and suburbs","Children at school aged between 5 and 12 years","Number","23493"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Passenger","Dublin City and suburbs","Students at school or college aged between 13 and 18 years","Number","7605"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Passenger","Dublin City and suburbs","Students at school or college aged 19 years and over","Number","882"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Passenger","Cork City and suburbs","All persons","Number","11244"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Passenger","Cork City and suburbs","Population aged 15 years and over at work","Number","1414"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Passenger","Cork City and suburbs","Children at school aged between 5 and 12 years","Number","5861"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Passenger","Cork City and suburbs","Students at school or college aged between 13 and 18 years","Number","3286"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Passenger","Cork City and suburbs","Students at school or college aged 19 years and over","Number","683"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Passenger","Limerick City and suburbs","All persons","Number","4421"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Passenger","Limerick City and suburbs","Population aged 15 years and over at work","Number","705"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Passenger","Limerick City and suburbs","Children at school aged between 5 and 12 years","Number","2298"
