"Statistic","CensusYear","Sex","County of Usual Residence","Travelling Time","At Work School or College","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","¾ hour - < 1 hour","All persons","Number","1425"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","¾ hour - < 1 hour","Population aged 15 years and over at work","Number","1144"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","¾ hour - < 1 hour","Children at school aged between 5 and 12 years","Number","29"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","¾ hour - < 1 hour","Students at school or college aged between 13 and 18 years","Number","118"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","¾ hour - < 1 hour","Students at school or college aged 19 years and over","Number","134"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","1 hour - < 1½ hours","All persons","Number","1310"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","1 hour - < 1½ hours","Population aged 15 years and over at work","Number","1065"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","1 hour - < 1½ hours","Children at school aged between 5 and 12 years","Number","22"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","1 hour - < 1½ hours","Students at school or college aged between 13 and 18 years","Number","82"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","1 hour - < 1½ hours","Students at school or college aged 19 years and over","Number","141"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","1½ hours and over","All persons","Number","622"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","1½ hours and over","Population aged 15 years and over at work","Number","532"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","1½ hours and over","Children at school aged between 5 and 12 years","Number","6"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","1½ hours and over","Students at school or college aged between 13 and 18 years","Number","18"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","1½ hours and over","Students at school or college aged 19 years and over","Number","66"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","Not stated","All persons","Number","2698"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","Not stated","Population aged 15 years and over at work","Number","2067"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","Not stated","Children at school aged between 5 and 12 years","Number","331"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","Not stated","Students at school or college aged between 13 and 18 years","Number","159"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","Not stated","Students at school or college aged 19 years and over","Number","141"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Cork City","Total time travelling","All persons","Number","33718"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Cork City","Total time travelling","Population aged 15 years and over at work","Number","21285"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Cork City","Total time travelling","Children at school aged between 5 and 12 years","Number","4648"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Cork City","Total time travelling","Students at school or college aged between 13 and 18 years","Number","3692"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Cork City","Total time travelling","Students at school or college aged 19 years and over","Number","4093"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Cork City","< ¼ hour","All persons","Number","11590"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Cork City","< ¼ hour","Population aged 15 years and over at work","Number","5520"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Cork City","< ¼ hour","Children at school aged between 5 and 12 years","Number","3078"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Cork City","< ¼ hour","Students at school or college aged between 13 and 18 years","Number","1584"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Cork City","< ¼ hour","Students at school or college aged 19 years and over","Number","1408"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Cork City","¼ hour - < ½ hour","All persons","Number","13345"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Cork City","¼ hour - < ½ hour","Population aged 15 years and over at work","Number","9181"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Cork City","¼ hour - < ½ hour","Children at school aged between 5 and 12 years","Number","1043"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Cork City","¼ hour - < ½ hour","Students at school or college aged between 13 and 18 years","Number","1522"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Cork City","¼ hour - < ½ hour","Students at school or college aged 19 years and over","Number","1599"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Cork City","½ hour - < ¾ hour","All persons","Number","4558"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Cork City","½ hour - < ¾ hour","Population aged 15 years and over at work","Number","3476"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Cork City","½ hour - < ¾ hour","Children at school aged between 5 and 12 years","Number","153"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Cork City","½ hour - < ¾ hour","Students at school or college aged between 13 and 18 years","Number","315"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Cork City","½ hour - < ¾ hour","Students at school or college aged 19 years and over","Number","614"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Cork City","¾ hour - < 1 hour","All persons","Number","796"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Cork City","¾ hour - < 1 hour","Population aged 15 years and over at work","Number","617"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Cork City","¾ hour - < 1 hour","Children at school aged between 5 and 12 years","Number","25"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Cork City","¾ hour - < 1 hour","Students at school or college aged between 13 and 18 years","Number","34"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Cork City","¾ hour - < 1 hour","Students at school or college aged 19 years and over","Number","120"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Cork City","1 hour - < 1½ hours","All persons","Number","599"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Cork City","1 hour - < 1½ hours","Population aged 15 years and over at work","Number","477"
